truth_case_id,truth_case_name,expected_batch_passed,expected_outcome_class,expected_result_count,expected_new_authority_count,expected_reason_sequence,expected_replay_count,expected_conflict_count,response_schema_valid,response_hash_valid,input_order_preserved,inputs_unmodified,filesystem_write_count,verified
TRUTH_001,valid_select,true,passed,1,1,"[""PASSED""]",0,0,true,true,true,true,0,true
TRUTH_002,valid_revise,true,passed,1,1,"[""PASSED""]",0,0,true,true,true,true,0,true
TRUTH_003,valid_quarantine,true,passed,1,1,"[""PASSED""]",0,0,true,true,true,true,0,true
TRUTH_004,valid_partial_two_sample_batch,true,passed,2,2,"[""PASSED"",""PASSED""]",0,0,true,true,true,true,0,true
TRUTH_005,not_reviewed_blocked,false,blocked,1,0,"[""REVIEW_NOT_COMPLETED""]",0,0,true,true,true,true,0,true
TRUTH_006,conflicting_reingestion_blocked,false,blocked,1,0,"[""CONFLICTING_REVIEW_REINGESTION""]",0,1,true,true,true,true,0,true
TRUTH_007,atomicity_rollback_blocked,false,blocked,2,0,"[""BATCH_ATOMICITY_ABORTED"",""REVIEW_NOT_COMPLETED""]",0,0,true,true,true,true,0,true
TRUTH_008,mixed_batch_ids_invalid,false,invalid,2,0,"[""SUBMISSION_BATCH_ID_MISMATCH"",""SUBMISSION_BATCH_ID_MISMATCH""]",0,0,true,true,true,true,0,true
TRUTH_009,duplicate_sample_invalid,false,invalid,2,0,"[""DUPLICATE_SAMPLE_IN_BATCH"",""DUPLICATE_SAMPLE_IN_BATCH""]",0,0,true,true,true,true,0,true
TRUTH_010,duplicate_review_sha_invalid,false,invalid,2,0,"[""DUPLICATE_REVIEW_RECORD_SHA_IN_BATCH"",""DUPLICATE_REVIEW_RECORD_SHA_IN_BATCH""]",0,0,true,true,true,true,0,true
TRUTH_011,forged_authority_context_invalid,false,invalid,1,0,"[""INGESTION_AUTHORITY_CONTEXT_INVALID""]",0,0,true,true,true,true,0,true
TRUTH_012,forged_review_identity_invalid,false,invalid,1,0,"[""REVIEW_IDENTITY_LINKAGE_MISMATCH""]",0,0,true,true,true,true,0,true
TRUTH_013,ineligible_select_invalid,false,invalid,1,0,"[""SELECT_OPTION_NOT_REVIEW_ELIGIBLE""]",0,0,true,true,true,true,0,true
TRUTH_014,invalid_envelope_exact_type,false,invalid,1,0,"[""INGESTION_ENVELOPE_EXACT_TYPE_INVALID""]",0,0,true,true,true,true,0,true
TRUTH_015,invalid_existing_authority_hash,false,invalid,1,0,"[""EXISTING_AUTHORITY_SET_INVALID""]",0,0,true,true,true,true,0,true
TRUTH_016,invalid_existing_authority_decision_evidence,false,invalid,1,0,"[""EXISTING_AUTHORITY_SET_INVALID""]",0,0,true,true,true,true,0,true
TRUTH_017,empty_batch_invalid,false,invalid,0,0,[],0,0,true,true,true,true,0,true
TRUTH_018,oversized_batch_invalid,false,invalid,12,0,"[""BATCH_SIZE_INVALID"",""BATCH_SIZE_INVALID"",""BATCH_SIZE_INVALID"",""BATCH_SIZE_INVALID"",""BATCH_SIZE_INVALID"",""BATCH_SIZE_INVALID"",""BATCH_SIZE_INVALID"",""BATCH_SIZE_INVALID"",""BATCH_SIZE_INVALID"",""BATCH_SIZE_INVALID"",""BATCH_SIZE_INVALID"",""BATCH_SIZE_INVALID""]",0,0,true,true,true,true,0,true
