canonical_event_id,training_domain_relevance_status,human_review_required,source_dataset,source_record_id,evidence_field,evidence_value,evidence_used_for_machine_status,evidence_role,source_payload_sha256,event_source_payload_sha256s_json,binding_artifact_path,binding_artifact_sha256,source_annotation_is_production_authority,classification_rule
COVAPIE_CYS_SG_EVENT_V1:1BJG:A:CYS:146-:SG:B:UFP:C6,TASK_RELEVANCE_EVIDENCE_INSUFFICIENT,true,SOURCE_COVPDB,CovPDB_complexes/1bjg/1bjg.pdb#LINK00478,source_annotations.covalent_event,explicit PDB LINK CYS-SG to ligand endpoint,false,SUPPORTING_TRIAGE_EVIDENCE_ONLY,6d05249c83ad24589fd4280c2a8e5665d839cf8ee6c33b5ea0949b40fbe04220,"[""6b9c7853c1412c5375080806ae9bdf098de6524f395fe520dcba0a442f502d28"",""6d05249c83ad24589fd4280c2a8e5665d839cf8ee6c33b5ea0949b40fbe04220""]",data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/cross_source_canonical_event_manifest_v1.json,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,false,NO_SPECIALIST_REACTION_FIELD; HUMAN REVIEW REQUIRED
COVAPIE_CYS_SG_EVENT_V1:1BJG:A:CYS:146-:SG:B:UFP:C6,TASK_RELEVANCE_EVIDENCE_INSUFFICIENT,true,SOURCE_RCSB_PDB_DIRECT,1BJG:covale2,source_annotations.covalent_event,covalent bond,false,SUPPORTING_TRIAGE_EVIDENCE_ONLY,,"[""6b9c7853c1412c5375080806ae9bdf098de6524f395fe520dcba0a442f502d28"",""6d05249c83ad24589fd4280c2a8e5665d839cf8ee6c33b5ea0949b40fbe04220""]",data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/cross_source_canonical_event_manifest_v1.json,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,false,NO_SPECIALIST_REACTION_FIELD; HUMAN REVIEW REQUIRED
COVAPIE_CYS_SG_EVENT_V1:1BQ1:A:CYS:146-:SG:C:UMP:C6,LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT,true,SOURCE_COVBINDERINPDB,CBR004306,source_annotations.covalent_event,curated residue-binder reaction record,false,SUPPORTING_TRIAGE_EVIDENCE_ONLY,c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a,"[""6b9c7853c1412c5375080806ae9bdf098de6524f395fe520dcba0a442f502d28"",""c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a""]",data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/cross_source_canonical_event_manifest_v1.json,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,false,SPECIALIST_REACTION_FIELD_EQUALS_SUBSTRATE; LIKELY STATUS ONLY
COVAPIE_CYS_SG_EVENT_V1:1BQ1:A:CYS:146-:SG:C:UMP:C6,LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT,true,SOURCE_COVBINDERINPDB,CBR004306,source_annotations.reaction,substrate,true,SUPPORTING_TRIAGE_EVIDENCE_ONLY,c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a,"[""6b9c7853c1412c5375080806ae9bdf098de6524f395fe520dcba0a442f502d28"",""c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a""]",data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/cross_source_canonical_event_manifest_v1.json,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,false,SPECIALIST_REACTION_FIELD_EQUALS_SUBSTRATE; LIKELY STATUS ONLY
COVAPIE_CYS_SG_EVENT_V1:1BQ1:A:CYS:146-:SG:C:UMP:C6,LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT,true,SOURCE_COVBINDERINPDB,CBR004306,source_annotations.warhead,Uridine,false,SUPPORTING_TRIAGE_EVIDENCE_ONLY,c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a,"[""6b9c7853c1412c5375080806ae9bdf098de6524f395fe520dcba0a442f502d28"",""c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a""]",data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/cross_source_canonical_event_manifest_v1.json,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,false,SPECIALIST_REACTION_FIELD_EQUALS_SUBSTRATE; LIKELY STATUS ONLY
COVAPIE_CYS_SG_EVENT_V1:1BQ1:A:CYS:146-:SG:C:UMP:C6,LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT,true,SOURCE_RCSB_PDB_DIRECT,1BQ1:covale2,source_annotations.covalent_event,covalent bond,false,SUPPORTING_TRIAGE_EVIDENCE_ONLY,,"[""6b9c7853c1412c5375080806ae9bdf098de6524f395fe520dcba0a442f502d28"",""c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a""]",data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/cross_source_canonical_event_manifest_v1.json,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,false,SPECIALIST_REACTION_FIELD_EQUALS_SUBSTRATE; LIKELY STATUS ONLY
COVAPIE_CYS_SG_EVENT_V1:1BQ1:B:CYS:146-:SG:E:UMP:C6,LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT,true,SOURCE_COVBINDERINPDB,CBR004307,source_annotations.covalent_event,curated residue-binder reaction record,false,SUPPORTING_TRIAGE_EVIDENCE_ONLY,c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a,"[""6b9c7853c1412c5375080806ae9bdf098de6524f395fe520dcba0a442f502d28"",""c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a""]",data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/cross_source_canonical_event_manifest_v1.json,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,false,SPECIALIST_REACTION_FIELD_EQUALS_SUBSTRATE; LIKELY STATUS ONLY
COVAPIE_CYS_SG_EVENT_V1:1BQ1:B:CYS:146-:SG:E:UMP:C6,LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT,true,SOURCE_COVBINDERINPDB,CBR004307,source_annotations.reaction,substrate,true,SUPPORTING_TRIAGE_EVIDENCE_ONLY,c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a,"[""6b9c7853c1412c5375080806ae9bdf098de6524f395fe520dcba0a442f502d28"",""c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a""]",data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/cross_source_canonical_event_manifest_v1.json,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,false,SPECIALIST_REACTION_FIELD_EQUALS_SUBSTRATE; LIKELY STATUS ONLY
COVAPIE_CYS_SG_EVENT_V1:1BQ1:B:CYS:146-:SG:E:UMP:C6,LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT,true,SOURCE_COVBINDERINPDB,CBR004307,source_annotations.warhead,Uridine,false,SUPPORTING_TRIAGE_EVIDENCE_ONLY,c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a,"[""6b9c7853c1412c5375080806ae9bdf098de6524f395fe520dcba0a442f502d28"",""c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a""]",data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/cross_source_canonical_event_manifest_v1.json,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,false,SPECIALIST_REACTION_FIELD_EQUALS_SUBSTRATE; LIKELY STATUS ONLY
COVAPIE_CYS_SG_EVENT_V1:1BQ1:B:CYS:146-:SG:E:UMP:C6,LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT,true,SOURCE_RCSB_PDB_DIRECT,1BQ1:covale4,source_annotations.covalent_event,covalent bond,false,SUPPORTING_TRIAGE_EVIDENCE_ONLY,,"[""6b9c7853c1412c5375080806ae9bdf098de6524f395fe520dcba0a442f502d28"",""c039f9d5010a5957f696533402948cbc010dccba13f62bfe0f38d1365332553a""]",data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/cross_source_canonical_event_manifest_v1.json,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,false,SPECIALIST_REACTION_FIELD_EQUALS_SUBSTRATE; LIKELY STATUS ONLY
